Study_ID	Year	Title	Journal_published_in	Research_area	Insect_order	Insect_family	Development_stage	Target_community_of_microbiome	Sampled	Surface_sterilized	DNA_extraction_kit_used	16S_rRNA_gene_target_region	Did_they_use_negative_controls	What_type(s)	Is_it_reported_how_many_they_did_(blanks/total_samples)	Do_they_report_the_outcome_of_the_negative_controls	Did_they_sequence_the_negative_controls	What_was_the_reason_for_not_sequencing	Was_there_a_comparison_with_their_samples_to_control_for_contamination	How	Did_they_use_qPCR_in_tandem	Do_they_determine_the_limit_of_detection	Relic_DNA	Transient_bacteria	Animal/plant_DNA	Contamination	Is_the_DNA_sequencing_data_publicly_available	If_yes,_accession_code:	is_referenced_by_count
Napflin	2018	Host_effects_on_microbiota_community_assembly	Journal_of_Animal_Ecology	Entomology	Hymenoptera	Apidae	Adults	Gut	Gut	No	Qiagen	V3-V4	Yes	EBCs+PCRblanks	No	Yes	Yes	NA	Yes	DIY	No	NA	No	No	Yes	No	Yes	PRJEB22577	36
Neupane	2022	Effects_of_habitat_and_sampling_time_on_bacterial_community_composition_and_diversity_in_the_gut_of_the_female_house_fly,_Musca_domestica_Linnaeus_(Diptera:_Muscidae)	Medical_and_Veterinary_Entomology	Entomology	Diptera	Muscidae	Adults	Gut	Gut	No	ZymoBIOMICS	V3-V4	Yes	Mock_community	No	No	Yes	NA	Yes	DIY	No	NA	No	No	Yes	No	Yes	PRJNA753053	2
Nikolouli	2020	Genetic_structure_and_symbiotic_profile_of_worldwide_natural_populations_of_the_Mediterranean_fruit_fly,_Ceratitis_capitata	BMC_Genetics	Microbiome	Diptera	Tephritidae	Adults	Body	Whole	Yes	blirt	V3-V4	Yes	EBCs+PCRblanks	No	No	No	Not_given	No	NA	No	NA	No	No	No	No	Yes	PRJNA662444	11
Nobles	2020	Effects_of_life_stage,_site,_and_species_on_the_dragonfly_gut_microbiome	Microorganisms	Microbiology	Odonata	Multiple	>1_developmental_stage	Gut	Gut	Yes	Qiagen	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	PRJNA597338	15
Ochoa-Sánchez	2022	Bitter_friends_are_not_always_toxic:_The_loss_of_acetic_acid_bacteria_and_the_absence_of_Komagataeibacter_in_the_gut_microbiota_of_the_polyphagous_fly_Anastrepha_ludens_could_inhibit_its_development_in_Psidium_guajava_in_contrast_to_A._striata_and_A._frat	Frontiers_in_Microbiology	Microbiology	Diptera	Tephritidae	Juveniles	Gut	Gut	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	PRJNA684483	4
Osei-Poku	2012	Deep_sequencing_reveals_extensive_variation_in_the_gut_microbiota_of_wild_mosquitoes_from_K_enya	Molecular_Ecology	Microbiome	Diptera	Culicidae	Adults	Gut	Gut	Yes	Qiagen	V3	Yes	EBCs	No	No	No	NA	No	NA	No	NA	No	No	Yes	No	Yes	SRR516961	220
Ourry	2020	Long-lasting_effects_of_antibiotics_on_bacterial_communities_of_adult_flies	FEMS_Microbiology_Ecology	Microbiology	Diptera	Anthomyiidae	Adults	Body	Whole	No	Protocol	V5-V7	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	Yes	Yes	PRJEB36052	10
Ourry	2021	Influential_insider:_Wolbachia,_an_intracellular_symbiont,_manipulates_bacterial_diversity_in_its_insect_host	Microorganisms	Microbiology	Diptera	Anthomyiidae	Adults	Body	Whole	No	Protocol	V5-V7	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJEB45534	6
Przemieniecki	2022	Polyethylene,_polystyrene_and_lignocellulose_wastes_as_mealworm_(Tenebrio_molitor_L.)_diets_and_their_impact_on_the_breeding_condition,_biometric_parameters,_metabolism,_and_digestive_microbiome	Science_of_the_Total_Environment	Microbiome	Coleoptera	Tenebrionidae	Juveniles	Gut	Gut	No	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	No	NA	12
Ptaszyńska	2021	Amplicon_sequencing_of_variable_16S_rRNA_from_bacteria_and_ITS2_regions_from_fungi_and_plants,_reveals_honeybee_susceptibility_to_diseases_results_from_their_forage_availability_under_anthropogenic_landscapes	Pathogens	Microbiology	Hymenoptera	Apidae	Adults	Body	Whole	No	Qiagen	V3-V4	Yes	PCRblanks	No	No	No	Not_given	No	NA	No	NA	No	No	No	Yes	Yes	RJNA686953	15
Qin	2022	Effects_of_Microbial_Transfer_during_Food-Gut-Feces_Circulation_on_the_Health_of_Bombyx_mori	Microbiology_Spectrum	Microbiology	Lepidoptera	Bombycidae	Juveniles	Gut	Gut	Yes	Omega	V5-V6	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	PRJNA791511	5
Ramalho	2017	Microbial_composition_of_spiny_ants_(Hymenoptera:_Formicidae:_Polyrhachis)_across_their_geographic_range	BMC_Evolutionary_Biology	Microbiome	Hymenoptera	Formicidae	Adults	Body	Whole	No	Qiagen	V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	Yes	SRR5136256,_SRP095836	39
Ranjith	2016	Bacterial_communities_associated_with_the_gut_of_tomato_fruit_borer,_Helicoverpa_armigera_(Hubner)_(Lepidoptera:_Noctuidae)_based_on_Illumina_Next-Generation_Sequencing	Journal_of_Asia-Pacific_Entomology	Entomology	Lepidoptera	Noctuidae	Juveniles	Gut	Gut	Yes	Protocol	V3	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	SRR1914365	18
Ravigne	2022	Fruit_fly_phylogeny_imprints_bacterial_gut_microbiota	Evolutionary_Applications	Microbiome	Diptera	Tephritidae	Adults	Gut	Gut	Yes	Qiagen	Full_length	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA781104	4
Ren	2022	Gut_symbiotic_bacteria_are_involved_in_nitrogen_recycling_in_the_tephritid_fruit_fly_Bactrocera_dorsalis	BMC_Biology	Microbiome	Diptera	Tephritidae	>1_developmental_stage	Gut	Gut	Yes	Omega	Not_given	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	Yes	Yes	No	Yes	PRJNA763789	8
Rocha	2022	Habitat_and_Host_Species_Drive_the_Structure_of_Bacterial_Communities_of_Two_Neotropical_Trap-Jaw_Odontomachus_Ants	Microbial_Ecology	Microbiology	Hymenoptera	Formicidae	Adults	Body	Whole	Yes	Qiagen	V4	Yes	EBCs	4/260	Yes	Yes	NA	Yes	Decontam	No	NA	No	Yes	Yes	Yes	Yes	SAMN17861685_to_SAMN17861972	1
Rogers	2014	Anterior_Foregut_Microbiota_of_the_Glassy-Winged_Sharpshooter_Explored_Using_Deep_16S_rRNA_Gene_Sequencing_from_Individual_Insects	PloS_ONE	Microbiome	Hemiptera	Cicadellidae	Adults	Gut	Gut	No	Protocol	V6	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	Yes	Yes	No	NA	23
Rogers	2016	Deep_16S_rRNA_gene_sequencing_of_anterior_foregut_microbiota_from_the_blue-green_sharpshooter_(Graphocephala_atropunctata)	Journal_of_Applied_Entomology	Entomology	Hemiptera	Cicadellidae	Adults	Gut	Gut	No	Protocol	Full_length	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	No	NA	4
Rothman	2018	Longitudinal_effects_of_supplemental_forage_on_the_honey_bee_(Apis_mellifera)_microbiota_and_inter-and_intra-colony_variability	Invertebrate_Microbiology	Melittology	Hymenoptera	Apidae	Adults	Gut	Gut	Yes	Qiagen	V5-V6	Yes	EBCs	3	Yes	Yes	NA	Yes	Taxa_overlap	No	NA	No	Yes	Yes	Yes	Yes	SRR5532840-SRR5533128	34
Rothman	2019	The_bumble_bee_microbiome_increases_survival_of_bees_exposed_to_selenate_toxicity	Environmental_Microbiology	Melittology	Hymenoptera	Apidae	Adults	Body	Whole	No	Qiagen	V5-V6	Yes	EBCs	4	Yes	Yes	NA	Yes	Taxa_overlap	Yes	No	No	No	Yes	Yes	Yes	SRR6788889-SRR6788898,_SRR6788969-SRR6788978,_SRR6788989-SRR6789000_and_SRR6789009-SRR6789022	41
Rubin	2014	DNA_extraction_protocols_cause_differences_in_16S_rRNA_amplicon_sequencing_efficiency_but_not_in_community_profile_composition_or_structure	MicrobiologyOpen	Microbiology	Hymenoptera	Formicidae	>1_developmental_stage	Body	Whole_and_Gut	Yes	MoBio_Laboratories	V4	Yes	EBCs	3/188	No	No	Not_given	No	NA	Yes	Yes	No	No	No	Yes	Yes	SRP033241	76
RuizBarrionuevo	2022	The_Bacterial_and_Fungal_Gut_Microbiota_of_the_Greater_Wax_Moth,_Galleria_mellonella_L._Consuming_Polyethylene_and_Polystyrene	Frontiers_in_Microbiology	Microbiology	Lepidoptera	Pyralidae	Juveniles	Gut	Gut	Yes	Qiagen	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	ERP135546	11
Sabree	2014	Host-specific_assemblages_typify_gut_microbial_communities_of_related_insect_species	SpringerPlus	Microbiome	Blattodea	Multiple	Adults	Gut	Gut	No	MoBio_Laboratories	V6-V9	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	Yes	Yes	NA	46
Sanders	2017	Dramatic_differences_in_gut_bacterial_densities_correlate_with_diet_and_habitat_in_rainforest_ants	Integrative_and_Comparative_Biology	Microbiome	Hymenoptera	Formicidae	Adults	Gut	Gut	Yes	MoBio_Laboratories	V4	Yes	EBCs	No	No	No	Not_given	No	NA	Yes	Yes	No	No	No	Yes	Yes	ERP014516	64
Schuler	2022	Investigating_the_microbial_community_of_Cacopsylla_spp._as_potential_factor_in_vector_competence_of_phytoplasma	Environmental_Microbiology	Microbiology	Hemiptera	Psyllidae	Adults	Body	Whole	No	Qiagen	V4	Yes	EBCs	No	Yes	Yes	NA	No	NA	Yes	Yes	No	Yes	Yes	Yes	No	NA	9
Segata	2016	The_reproductive_tracts_of_two_malaria_vectors_are_populated_by_a_core_microbiome_and_by_gender-and_swarm-enriched_microbial_biomarkers	Scientific_reports	Microbiome	Diptera	Culicidae	Adults	Body	Whole	No	Qiagen	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	No	NA	75
Segers	2019	Abdominal_microbial_communities_in_ants_depend_on_colony_membership_rather_than_caste_and_are_linked_to_colony_productivity	Ecology_and_Evolution	Microbiome	Hymenoptera	Formicidae	Adults	Gut	Gut	Yes	Epicentre	V4	Yes	EBCs+PCRblanks	No	Yes	Yes	NA	Yes	DIY	Yes	No	No	No	Yes	Yes	Yes	PRJNA574251	19
Shaha	2022	Mining_the_diversity_and_functional_profile_of_bacterial_symbionts_from_the_larvae_of_Chironomus_circumdatus_(bloodworms)	Microbiologica	Microbiology	Diptera	Chironomidae	Juveniles	Body	Whole	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	2
Shang	2021	Evaluation_of_sublethal_and_transgenerational_effects_of_sulfoxaflor_on_Aphis_gossypii_via_life_table_parameters_and_16S_rRNA_sequencing	Pest_Management_Science	Microbiome	Hemiptera	Aphididae	Adults	Body	Whole	No	MP_Biomedicals	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	Yes	Yes	PRJNA689863	16
Sigut	2022	Fungi_are_more_transient_than_bacteria_in_caterpillar_gut_microbiomes	Scientific_reports	Microbiome	Lepidoptera	Noctuidae	Juveniles	Gut	Gut	Yes	Macherey-Nagel	V5-V6	Yes	EBCs	3_per_96_well_plate	Yes	Yes	NA	Yes	Decontam	No	NA	Yes	Yes	Yes	Yes	Yes	PRJNA694554	5
Simhadri	2017	The_gut_commensal_microbiome_of_Drosophila_melanogaster_is_modified_by_the_endosymbiont_Wolbachia	MSphere	Microbiome	Diptera	Drosophilidae	Adults	Gut,_Food	Whole	Yes	Qiagen	V1-V2	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	Yes	PRJNA381361	84
Soh	2022	Bacterial_symbionts_influence_host_susceptibility_to_fenitrothion_and_imidacloprid_in_the_obligate_hematophagous_bed_bug,_Cimex_hemipterus	Scientific_reports	Microbiome	Hemiptera	Cimicidae	Adults	Body	Whole	Yes	Favorgen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	Yes	Yes	Yes	No	Yes	PRJNA815933	13
Song	2019	Composition_and_change_in_the_microbiome_of_Diaphorina_citri_infected_with_Candidatus_Liberibacter_asiaticus_in_China	International_Journal_of_Tropical_Insect_Science	Entomology	Hemiptera	Liviidae	Adults	Body	Whole	Yes	Axygen	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	No	No	NA	0
Starhova	2022	Microbiome_of_pear_psyllids:_A_tale_about_closely_related_species_sharing_their_endosymbionts	Environmental_Microbiology	Microbiology	Hemiptera	Psyllidae	>1_developmental_stage	Body	Whole	No	Omega	V3-V4	Yes	EBCs	No	Yes	Yes	NA	Yes	Taxa_overlap	No	NA	No	No	Yes	Yes	Yes	OK561501	10
Stathopoulou	2019	Irradiation_effect_on_the_structure_of_bacterial_communities_associated_with_the_oriental_fruit_fly,_Bactrocera_dorsalis	Entomologia_Experimentalis_et_Applicata	Entomology	Diptera	Tephritidae	>1_developmental_stage	Body	Whole	Yes	Protocol	V3-V4	Yes	Not_given	No	No	No	Not_given	No	NA	No	NA	No	No	No	No	Yes	PRJNA487998	13
Subta	2020	Bacterial_communities_in_three_parts_of_intestinal_tracts_of_carpenter_bees_(Xylocopa_tenuiscapa)	Insects	Melittology	Hymenoptera	Apidae	Adults	Gut	Gut	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA525318	8
Tabbabi	2021	Comparative_Analysis_of_Bacterial_Communities_in_Lutzomyia_ayacuchensis_Populations_with_Different_Vector_Competence_to_Leishmania_Parasites_in_Ecuador_and_Peru	Microorganisms	Microbiology	Diptera	Psychodidae	Adults	Body	Whole	Yes	Protocol	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	SAMN16706340-SAMN16706373	4
Tegtmeier	2021	Culture-independent_and_culture-dependent_characterization_of_the_black_soldier_fly_gut_microbiome_reveals_a_large_proportion_of_culturable_bacteria_with_potential_for_industrial_applications	Microorganisms	Microbiology	Diptera	Stratiomyidae	Juveniles	Gut	Gut	Yes	Macherey-Nagel	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	No	Yes	PRJNA739514	21
Telang	2018	Metagenome_and_Culture-Based_Methods_Reveal_Candidate_Bacterial_Mutualists_in_the_Southern_House_Mosquito_(Diptera:_Culicidae)	Journal_of_Medical_Entomology	Entomology	Diptera	Culicidae	Adults	Gut	Gut	Yes	MoBio_Laboratories	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	4
Tinker	2020	Phylosymbiosis_across_Deeply_Diverging_Lineages_of_Omnivorous_Cockroaches_(Order_Blattodea)	Applied_and_Environmental_Microbiology	Microbiology	Blattodea	Blaberidae,_Blattidae,_Corydiidae,_Ectobiidae	Adults	Gut	Gut	Yes	Omega	V4	Yes	EBCs	No	No	No	Not_given	No	NA	No	NA	No	No	Yes	No	Yes	RP132948	24
Tobias	2020	Enzymatic_biosynthesis_of_B-complex_vitamins_is_supplied_by_diverse_microbiota_in_the_Rhodnius_prolixus_anterior_midgut_following_Trypanosoma_cruzi_infection	Computational_and_Structural_Biotechnology_Journal	Microbiome	Hemiptera	Reduviidae	Juveniles	Gut	Gut	No	Qiagen	Shotgun_metagenomic_sequencing	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	Yes	Yes	PRJEB33861	13
Ugwu	2022	Monocot_diet_sources_drive_diversity_of_gut_bacterial_communities_in_Spodoptera_frugiperda_(Lepidoptera:_Noctuidae)_larvae	Journal_of_Applied_Entomology	Entomology	Lepidoptera	Noctuidae	Juveniles	Body	Whole	No	Protocol	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	PRJNA734744	6
vandenBosch	2020	The_Microbial_Diversity_of_Cabbage_Pest_Delia_radicum_Across_Multiple_Life_Stages	Frontiers_in_Microbiology	Microbiology	Diptera	Anthomyiidae	>1_developmental_stage	Body	Whole	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	Yes	Yes	Yes	No	Yes	PRJNA573643	7
Vandeweyer	2017	Metagenetic_analysis_of_the_bacterial_communities_of_edible_insects_from_diverse_production_cycles_at_industrial_rearing_companies	International_Journal_of_Food_Microbiology	Microbiology	Multiple	Multiple	>1_developmental_stage	Body	Whole	No	Protocol	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	PRJNA390238	47
vanSchooten	2018	Conserved_microbiota_among_young_Heliconius_butterfly_species	PeerJ	Microbiome	Lepidoptera	Nymphalidae	Adults	Gut	Gut	Yes	Qiagen	V4	Yes	PCRblanks	No	No	No	Not_given	No	NA	No	NA	No	No	Yes	No	Yes	SAMN07498379_-_SAMN07498418	22
Vilanova	2016	The_Generalist_Inside_the_Specialist:_Gut_Bacterial_Communities_of_Two_Insect_Species_Feeding_on_Toxic_Plants_Are_Dominated_by_Enterococcus_sp.	Frontiers_in_Microbiology	Microbiology	Lepidoptera	Noctuidae,_Sphingidae	Juveniles	Gut	Gut	No	Protocol	V1-V3	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	4639004.3_-_46390015.3	93
Voirol	2021	How_the_'kitome'_influences_the_characterization_of_bacterial_communities_in_lepidopteran_samples_with_low_bacterial_biomass	Journal_of_Applied_Microbiology	Microbiology	Lepidoptera	Pieridae	>1_developmental_stage	Body	Whole	No	Qiagen	V3-V4	Yes	EBCs	No	Yes	Yes	NA	Yes	Other	No	NA	No	No	Yes	Yes	Yes	PRJNA640344	8
Voulgari-Kokota	2022	Houseflies_harbor_less_diverse_microbiota_under_laboratory_conditions_but_maintain_a_consistent_set_of_host-associated_bacteria	Scientific_reports	Microbiome	Diptera	Muscidae	>1_developmental_stage	Body	Whole	No	Qiagen	V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	Yes	Yes	No	Yes	PRJNA806649	3
Waidele	2017	Differential_Ecological_Specificity_of_Protist_and_Bacterial_Microbiomes_across_a_Set_of_Termite_Species	Frontiers_in_Microbiology	Micobiology	Blattodea	Kalotermitidae	Adults	Gut	Gut	No	Protocol	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	No	No	NA	24
Wang	2019	Insight_into_the_microbial_world_of_Bemisia_tabaci_cryptic_species_complex_and_its_relationships_with_its_host	Scientific_reports	Microbiome	Hemiptera	Aleyrodidae	Adults	Body	Whole	No	Qiagen	V4-V5	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	SRP117655	19
Wang	2020	Diversity,_Composition_and_Functional_Inference_of_Gut_Microbiota_in_Indian_Cabbage_white_Pieris_canidia_(Lepidoptera:_Pieridae)	Life	Microbiome	Lepidoptera	Pieridae	>1_developmental_stage	Gut	Gut	No	MoBio_Laboratories	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	No	Yes	PRJNA595480	11
Wang	2022	Similar_Bacterial_Communities_among_Different_Populations_of_a_Newly_Emerging_Invasive_Species,_Tuta_absoluta_(Meyrick)	Insects	Entomology	Lepidoptera	Gelechiidae	Adults	Gut	Gut	Yes	Tiangen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	8
Wang	2022	Dynamic_changes_of_gut_bacterial_communities_present_in_larvae_of_Anoplophora_glabripennies_collected_at_different_developmental_stages	Archives_of_Insect_Biochemistry	Entomology	Coleoptera	Cerambycidae	Juveniles	Gut	Gut	No	Magen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	PRJNA822074	1
Wang	2022	Different_plastics_ingestion_preferences_and_efficiencies_of_superworm_(Zophobas_atratus_Fab.)_and_yellow_mealworm_(Tenebrio_molitor_Linn.)_associated_with_distinct_gut_microbiome_changes	Science_of_the_Total_Environment	Microbiome	Coleoptera	Tenebrionidae	Juveniles	Gut	Gut	No	Not_given	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	0
Wang	2022	Effect_of_carbendazim_on_honey_bee_health:_Assessment_of_survival,_pollen_consumption,_and_gut_microbiome_composition	Ecotoxicology_and_Environmental_Safety	Melittology	Hymenoptera	Apidae	Adults	Gut	Gut	No	Tiangen	V4	No	NA	NA	NA	NA	NA	NA	NA	Np	NA	No	No	Yes	No	No	NA	6
Wang	2022	Comparison_of_Gut_Bacterial_Communities_of_Locusta_migratoria_manilensis_(Meyen)_Reared_on_Different_Food_Plants	Biology	Microbiome	Orthoptera	Acrididae	Juveniles	Body	Whole	Yes	MoBio_Laboratories	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA858491	4
Wang	2022	The_Effect_of_Pine_Wood_Nematode_Bursaphelenchus_xylophilus_(Steiner_and_Buhrer)_Nickle_on_Intestinal_Bacterial_Community_of_Insect_Vector_Monochamus_saltuarius_(Coleoptera:_Cerambycidae)	Forests	Microbiome	Coleoptera	Cerambycidae	Adults	Gut	Gut	Yes	Not_given	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	No	No	NA	0
Wang	2022	Implications_of_environmentally_shaped_microbial_communities_for_insecticide_resistance_in_Sitobion_miscanthi	Environmental_Research	Microbiome	Hemiptera	Aphididae	Adults	Body	Whole	No	Tiangen	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	4
Weatherbee	2017	The_Dynamic_Maggot_Mass_Microbiome	Annals_of_the_Entomological_Society_of_America	Entomology	Diptera	Calliphoridae	Juveniles	Body	Whole	Yes	Invitrogen	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	35
Wei	2020	Gut_bacterial_communities_and_their_contribution_to_performance_of_specialistAlticaflea_beetles	Microbial_Ecology	Microbiology	Coleoptera	Chrysomelidae	Adults	Gut	Gut	Yes	MoBio_Laboratories	V3-V4	Yes	PCRblanks	1	No	No	Other	No	NA	No	NA	No	Yes	No	No	Yes	PRJNA601281	6
Wong	2011	Low_diversity_bacterial_community_in_the_gut_of_the_fruitfly_Drosophila_melanogaster	Environmental_Microbiology	Microbiology	Diptera	Drosophilidae	>1_developmental_stage	Gut	Gut	Yes	Qiagen	V2	Yes	EBCs	No	Yes	Yes	NA	Yes	Other	Yes	No	No	Yes	No	Yes	Yes	SRA023605.3	355
Wong	2013	The_inconstant_gut_microbiota_of_Drosophila_species_revealed_by_16S_rRNA_gene_analysis	The_ISME_journal	Microbiome	Diptera	Drosophilidae	Adults	Gut	Whole_and_Gut	Yes	Protocol	V2	Yes	PCRblanks	No	Yes	Yes	NA	Yes	DIY	No	NA	No	No	No	No	No	NA	251
Woruba	2019	Diet_and_irradiation_effects_on_the_bacterial_community_composition_and_structure_in_the_gut_of_domesticated_teneral_and_mature_Queensland_fruit_fly,_Bactrocera_tryoni_(Diptera:_Tephritidae)	BMC_Microbiology	Microbiology	Diptera	Tephritidae	>1_developmental_stage	Gut	Gut	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	PRJNA579218	22
Wu	2022	Cd_exposure-triggered_susceptibility_to_Bacillus_thuringiensis_in_Lymantria_dispar_involves_in_gut_microbiota_dysbiosis_and_hemolymph_metabolic_disorder	Ecotoxicology_and_Environmental_Safety	Microbiome	Lepidoptera	Erebidae	Juveniles	Gut	Gut	No	Omega	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	6
Xia	2013	DNA_sequencing_reveals_the_midgut_microbiota_of_diamondback_moth,_Plutella_xylostella_(L.)_and_a_possible_relationship_with_insecticide_resistance	PLoS_ONE	Microbiome	Lepidoptera	Plutellidae	Juveniles	Gut	Gut	Yes	MoBio_Laboratories	V6	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	Yes	SRR689271,_SRR689331,_SRR689340,_SRR689353,_SRR689372,_SRR689374,_and_SRR68939	126
Xu	2019	High-resolution_profiling_of_gut_bacterial_communities_in_an_invasive_beetle_using_PacBio_SMRT_sequencing_system	Insects	Entomology	Coleoptera	Scolytidae	Adults	Gut	Gut	No	Roche_Life_Science	Full_length	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	9
Xu	2021	Diversity_of_bacterial_symbionts_associated_withMyzus_persicae(Sulzer)_(Hemiptera:_Aphididae:_Aphidinae)_revealed_by_16S_rRNA_Illumina_sequencing	Microbial_Ecology	Microbiology	Hemiptera	Aphididae	Adults	Body	Whole	Yes	Qiagen	V3-V4	Yes	EBCs	1	No	No	NA	No	NA	No	NA	No	No	Yes	No	Yes	PRJNA602138	11
Xu	2022	Effect_of_Diet_on_the_Midgut_Microbial_Composition_and_Host_Immunity_of_the_Fall_Armyworm,_Spodoptera_frugiperda	Biology	Microbiome	Lepidoptera	Noctuidae	Juveniles	Gut	Gut	No	Qiagen	V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	No	NA	2
Xu	2022	Diversity_and_dynamics_of_bacteria_at_the_Chrysomya_megacephala_pupal_stage_revealed_by_third-generation_sequencing	Scientific_Reports	Microbiome	Diptera	Calliphoridae	Juveniles	Body	Whole	Yes	MoBio_Laboratories	Full_length	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA744036	2
Yang	2021	Evaluation_of_Sample_Preservation_Approaches_for_Better_Insect_Microbiome_Research_According_to_Next-Generation_and_Third-Generation_Sequencing	Microbial_Ecology	Microbiome	Hemiptera	Tessaratomidae	Adults	Body	Whole	Yes	Qiagen	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA676180	11
Yang	2022	Gut_bacterial_communities_and_their_assembly_processing_in_Cnaphalocrocis_medinalis_from_different_geographic_sources	Frontiers_in_Microbiology	Microbiology	Lepidoptera	Crambidae	Juveniles	Gut	Gut	Yes	Omega	V4-V5	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA838393	0
Yang	2022	Microbiome_Analysis_of_the_Bamboo_Aphid_Melanaphis_bambusae_Infected_with_the_Aphid_Obligate_Pathogen_Conidiobolus_obscurus_(Entomophthoromycotina)	Insects	Entomology	Hemiptera	Aphididae	Adults	Body	Whole	No	TaKaRa	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	CNP0003555	1
Yong	2017	High_diversity_of_bacterial_communities_in_developmental_stages_of_Bactrocera_carambolae_(Insecta:_Tephritidae)_revealed_by_Illumina_MiSeq_sequencing_of_16S_rRNA_gene	Current_Microbiology	Microbiology	Diptera	Tephritidae	>1_developmental_stage	Body	Whole	No	iNtRon	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	No	NA	44
Yong	2017	Microbiota_associated_with_Bactrocera_carambolae_and_B._dorsalis_(Insecta:_Tephritidae)_revealed_by_next-generation_sequencing_of_16S_rRNA_gene	Meta_Gene	Microbiome	Diptera	Tephritidae	Adults	Body	Whole	No	iNtRon	V3	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	No	NA	30
